dataset,model,defense,attack,num_examples,accuracy,clean_accuracy_on_attack_set,conditional_robust_accuracy,overall_robust_accuracy,attack_success_rate,num_successes,num_failures,num_skipped,valid_examples,avg_perturbed_words,avg_queries,query_budget,seed,mask_rate,ahp_pruning,ahp_aggregation,ahp_temperature,ensemble_size,denoiser
sst2,alpaca-native,none,deepwordbug,100,0.691358024691358,0.81,0.691358024691358,0.56,0.3086419753086419,25,56,19,81,1.64,32.55555555555556,100,123,,,,,,
sst2,alpaca-native,none,pruthi,100,0.7654320987654321,0.81,0.7654320987654321,0.62,0.2345679012345679,19,62,19,81,1.0,95.66666666666669,100,123,,,,,,
sst2,alpaca-native,none,pwws,100,0.8148148148148148,0.81,0.8148148148148148,0.66,0.1851851851851851,15,66,19,81,1.1333333333333333,82.48148148148148,100,123,,,,,,
agnews,alpaca-native,none,deepwordbug,100,0.1428571428571428,0.7,0.1428571428571428,0.1,0.8571428571428571,60,10,30,70,6.533333333333333,78.35714285714286,200,123,,,,,,
agnews,alpaca-native,none,pruthi,100,0.7571428571428571,0.7,0.7571428571428571,0.53,0.2428571428571428,17,53,30,70,1.0,200.0,200,123,,,,,,
agnews,alpaca-native,none,pwws,100,0.8,0.7,0.8,0.56,0.2,14,56,30,70,1.8571428571428568,190.38571428571427,200,123,,,,,,
sst2,alpaca-native,ahp,deepwordbug,100,0.8,0.8,0.8,0.64,0.2,16,64,20,80,1.0,37.8875,100,123,0.15,none,majority_vote,1.0,50.0,
sst2,alpaca-native,ahp,pruthi,100,0.8,0.8,0.8,0.64,0.2,16,64,20,80,1.0,95.6125,100,123,0.15,none,majority_vote,1.0,50.0,
sst2,alpaca-native,ahp,pwws,100,0.875,0.8,0.875,0.7,0.125,10,70,20,80,1.0,82.625,100,123,0.15,none,majority_vote,1.0,50.0,
agnews,alpaca-native,ahp,deepwordbug,100,0.7538461538461538,0.65,0.7538461538461538,0.49,0.2461538461538461,16,49,35,65,1.0,125.04615384615384,200,123,0.15,none,majority_vote,1.0,50.0,
agnews,alpaca-native,ahp,pruthi,100,0.796875,0.64,0.796875,0.51,0.203125,13,51,36,64,1.0,200.0,200,123,0.15,none,majority_vote,1.0,50.0,
agnews,alpaca-native,ahp,pwws,100,0.8939393939393939,0.66,0.8939393939393939,0.59,0.106060606060606,7,59,34,66,1.0,193.6969696969697,200,123,0.15,none,majority_vote,1.0,50.0,
sst2,alpaca-native,topk,deepwordbug,100,0.7792207792207793,0.77,0.7792207792207793,0.6,0.2207792207792207,17,60,23,77,1.0,35.94805194805195,100,123,0.15,,,,50.0,
sst2,alpaca-native,topk,pruthi,100,0.7564102564102564,0.78,0.7564102564102564,0.59,0.2435897435897435,19,59,22,78,1.0,95.5,100,123,0.15,,,,50.0,
sst2,alpaca-native,topk,pwws,100,0.8289473684210527,0.76,0.8289473684210527,0.63,0.1710526315789473,13,63,24,76,1.0,81.39473684210526,100,123,0.15,,,,50.0,
agnews,alpaca-native,topk,deepwordbug,100,0.7272727272727273,0.77,0.7272727272727273,0.56,0.2727272727272727,21,56,23,77,1.0,120.14285714285714,200,123,0.15,,,,50.0,
agnews,alpaca-native,topk,pruthi,100,0.6842105263157895,0.76,0.6842105263157895,0.52,0.3157894736842105,24,52,24,76,1.0,200.0,200,123,0.15,,,,50.0,
agnews,alpaca-native,topk,pwws,100,0.918918918918919,0.74,0.918918918918919,0.68,0.081081081081081,6,68,26,74,1.0,193.5810810810811,200,123,0.15,,,,50.0,
sst2,alpaca-native,selfdenoise,deepwordbug,100,0.7848101265822784,0.79,0.7848101265822784,0.62,0.2151898734177215,17,62,21,79,1.0,37.0,100,123,0.15,,,,50.0,roberta
sst2,alpaca-native,selfdenoise,pruthi,100,0.8,0.8,0.8,0.64,0.2,16,64,20,80,1.0,95.6125,100,123,0.15,,,,50.0,roberta
sst2,alpaca-native,selfdenoise,pwws,100,0.875,0.8,0.875,0.7,0.125,10,70,20,80,1.0,82.625,100,123,0.15,,,,50.0,roberta
agnews,alpaca-native,selfdenoise,deepwordbug,100,0.7230769230769231,0.65,0.7230769230769231,0.47,0.2769230769230769,18,47,35,65,1.0,120.0923076923077,200,123,0.15,,,,50.0,roberta
agnews,alpaca-native,selfdenoise,pruthi,100,0.71875,0.64,0.71875,0.46,0.28125,18,46,36,64,1.0,200.0,200,123,0.15,,,,50.0,roberta
agnews,alpaca-native,selfdenoise,pwws,100,0.90625,0.64,0.90625,0.58,0.09375,6,58,36,64,1.0,194.625,200,123,0.15,,,,50.0,roberta
