dataset,attack,defense,clean_accuracy_on_attack_set_mean,clean_accuracy_on_attack_set_std,clean_accuracy_on_attack_set_count,conditional_robust_accuracy_mean,conditional_robust_accuracy_std,conditional_robust_accuracy_count,overall_robust_accuracy_mean,overall_robust_accuracy_std,overall_robust_accuracy_count,attack_success_rate_mean,attack_success_rate_std,attack_success_rate_count,avg_queries_mean,avg_queries_std,avg_queries_count,avg_perturbed_words_mean,avg_perturbed_words_std,avg_perturbed_words_count
agnews,deepwordbug,ahp,0.65,,1,0.7538461538461538,,1,0.49,,1,0.2461538461538461,,1,125.04615384615384,,1,1.0,,1
agnews,deepwordbug,none,0.7,,1,0.1428571428571428,,1,0.1,,1,0.8571428571428571,,1,78.35714285714286,,1,6.533333333333333,,1
agnews,deepwordbug,selfdenoise,0.65,,1,0.7230769230769231,,1,0.47,,1,0.2769230769230769,,1,120.0923076923077,,1,1.0,,1
agnews,deepwordbug,topk,0.77,,1,0.7272727272727273,,1,0.56,,1,0.2727272727272727,,1,120.14285714285714,,1,1.0,,1
agnews,pruthi,ahp,0.64,,1,0.796875,,1,0.51,,1,0.203125,,1,200.0,,1,1.0,,1
agnews,pruthi,none,0.7,,1,0.7571428571428571,,1,0.53,,1,0.2428571428571428,,1,200.0,,1,1.0,,1
agnews,pruthi,selfdenoise,0.64,,1,0.71875,,1,0.46,,1,0.28125,,1,200.0,,1,1.0,,1
agnews,pruthi,topk,0.76,,1,0.6842105263157895,,1,0.52,,1,0.3157894736842105,,1,200.0,,1,1.0,,1
agnews,pwws,ahp,0.66,,1,0.8939393939393939,,1,0.59,,1,0.106060606060606,,1,193.6969696969697,,1,1.0,,1
agnews,pwws,none,0.7,,1,0.8,,1,0.56,,1,0.2,,1,190.38571428571427,,1,1.8571428571428568,,1
agnews,pwws,selfdenoise,0.64,,1,0.90625,,1,0.58,,1,0.09375,,1,194.625,,1,1.0,,1
agnews,pwws,topk,0.74,,1,0.918918918918919,,1,0.68,,1,0.081081081081081,,1,193.5810810810811,,1,1.0,,1
sst2,deepwordbug,ahp,0.8,,1,0.8,,1,0.64,,1,0.2,,1,37.8875,,1,1.0,,1
sst2,deepwordbug,none,0.81,,1,0.691358024691358,,1,0.56,,1,0.3086419753086419,,1,32.55555555555556,,1,1.64,,1
sst2,deepwordbug,selfdenoise,0.79,,1,0.7848101265822784,,1,0.62,,1,0.2151898734177215,,1,37.0,,1,1.0,,1
sst2,deepwordbug,topk,0.77,,1,0.7792207792207793,,1,0.6,,1,0.2207792207792207,,1,35.94805194805195,,1,1.0,,1
sst2,pruthi,ahp,0.8,,1,0.8,,1,0.64,,1,0.2,,1,95.6125,,1,1.0,,1
sst2,pruthi,none,0.81,,1,0.7654320987654321,,1,0.62,,1,0.2345679012345679,,1,95.66666666666669,,1,1.0,,1
sst2,pruthi,selfdenoise,0.8,,1,0.8,,1,0.64,,1,0.2,,1,95.6125,,1,1.0,,1
sst2,pruthi,topk,0.78,,1,0.7564102564102564,,1,0.59,,1,0.2435897435897435,,1,95.5,,1,1.0,,1
sst2,pwws,ahp,0.8,,1,0.875,,1,0.7,,1,0.125,,1,82.625,,1,1.0,,1
sst2,pwws,none,0.81,,1,0.8148148148148148,,1,0.66,,1,0.1851851851851851,,1,82.48148148148148,,1,1.1333333333333333,,1
sst2,pwws,selfdenoise,0.8,,1,0.875,,1,0.7,,1,0.125,,1,82.625,,1,1.0,,1
sst2,pwws,topk,0.76,,1,0.8289473684210527,,1,0.63,,1,0.1710526315789473,,1,81.39473684210526,,1,1.0,,1
